ReviewId,ReviewText,Sentiment
55,"Rất tuyệt vời, 10 điểm",Positive
88,Tạm được so với tầm giá,Neutral
26,"Hàng lỗi, yêu cầu hoàn tiền",Negative
42,"Giao hàng nhanh, đóng gói cẩn thận",Positive
69,Quá thất vọng,Negative
15,"Rất tuyệt vời, 10 điểm",Positive
40,"Sản phẩm này rất tốt, tôi rất thích",Positive
96,"Hàng lỗi, yêu cầu hoàn tiền",Negative
9,Quá thất vọng,Negative
72,"Giao hàng nhanh, đóng gói cẩn thận",Positive
11,"Chất lượng quá kém, không đáng tiền",Negative
47,Đáng đồng tiền bát gạo,Positive
85,"Rất tuyệt vời, 10 điểm",Positive
28,Tạm được so với tầm giá,Neutral
93,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
5,"Rất tuyệt vời, 10 điểm",Positive
66,"Hàng lỗi, yêu cầu hoàn tiền",Negative
65,"Rất tuyệt vời, 10 điểm",Positive
35,"Rất tuyệt vời, 10 điểm",Positive
16,"Hàng lỗi, yêu cầu hoàn tiền",Negative
49,Quá thất vọng,Negative
34,"Bình thường, không có gì đặc sắc",Neutral
7,Đáng đồng tiền bát gạo,Positive
95,"Rất tuyệt vời, 10 điểm",Positive
27,Đáng đồng tiền bát gạo,Positive
19,Quá thất vọng,Negative
81,"Chất lượng quá kém, không đáng tiền",Negative
25,"Rất tuyệt vời, 10 điểm",Positive
62,"Giao hàng nhanh, đóng gói cẩn thận",Positive
13,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
24,"Bình thường, không có gì đặc sắc",Neutral
3,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
17,Đáng đồng tiền bát gạo,Positive
38,Tạm được so với tầm giá,Neutral
8,Tạm được so với tầm giá,Neutral
78,Tạm được so với tầm giá,Neutral
6,"Hàng lỗi, yêu cầu hoàn tiền",Negative
64,"Bình thường, không có gì đặc sắc",Neutral
36,"Hàng lỗi, yêu cầu hoàn tiền",Negative
89,Quá thất vọng,Negative
56,"Hàng lỗi, yêu cầu hoàn tiền",Negative
99,Quá thất vọng,Negative
54,"Bình thường, không có gì đặc sắc",Neutral
43,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
50,"Sản phẩm này rất tốt, tôi rất thích",Positive
67,Đáng đồng tiền bát gạo,Positive
46,"Hàng lỗi, yêu cầu hoàn tiền",Negative
68,Tạm được so với tầm giá,Neutral
61,"Chất lượng quá kém, không đáng tiền",Negative
97,Đáng đồng tiền bát gạo,Positive
79,Quá thất vọng,Negative
41,"Chất lượng quá kém, không đáng tiền",Negative
58,Tạm được so với tầm giá,Neutral
48,Tạm được so với tầm giá,Neutral
98,Tạm được so với tầm giá,Neutral
57,Đáng đồng tiền bát gạo,Positive
75,"Rất tuyệt vời, 10 điểm",Positive
32,"Giao hàng nhanh, đóng gói cẩn thận",Positive
94,"Bình thường, không có gì đặc sắc",Neutral
59,Quá thất vọng,Negative
63,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
84,"Bình thường, không có gì đặc sắc",Neutral
37,Đáng đồng tiền bát gạo,Positive
29,Quá thất vọng,Negative
1,"Chất lượng quá kém, không đáng tiền",Negative
52,"Giao hàng nhanh, đóng gói cẩn thận",Positive
21,"Chất lượng quá kém, không đáng tiền",Negative
2,"Giao hàng nhanh, đóng gói cẩn thận",Positive
23,"Thái độ phục vụ tệ, sẽ không quay lại",Negative
87,Đáng đồng tiền bát gạo,Positive
91,"Chất lượng quá kém, không đáng tiền",Negative
74,"Bình thường, không có gì đặc sắc",Neutral
86,"Hàng lỗi, yêu cầu hoàn tiền",Negative
82,"Giao hàng nhanh, đóng gói cẩn thận",Positive
20,"Sản phẩm này rất tốt, tôi rất thích",Positive
60,"Sản phẩm này rất tốt, tôi rất thích",Positive
71,"Chất lượng quá kém, không đáng tiền",Negative
14,"Bình thường, không có gì đặc sắc",Neutral
92,"Giao hàng nhanh, đóng gói cẩn thận",Positive
51,"Chất lượng quá kém, không đáng tiền",Negative
