ImageId,Label
1245,6
220,9
1518,3
438,7
1270,2
832,1
692,5
1309,2
1101,5
1742,2
787,1
677,9
584,4
1541,0
1268,4
1751,2
339,3
173,7
1433,8
1067,8
497,4
1240,3
203,9
1586,7
1659,5
212,6
619,3
162,5
1441,6
1004,3
900,4
415,9
1000,1
366,4
1091,4
611,6
1360,9
1483,4
1200,7
65,6
1222,6
233,9
298,1
962,3
1732,6
479,1
865,3
422,0
984,6
1333,5
432,5
1040,1
813,9
109,5
532,6
305,0
29,9
1722,0
915,0
70,1
1283,0
1456,4
1700,5
408,2
887,4
1448,5
1121,7
1258,0
1395,7
1784,5
251,9
930,5
1358,5
530,4
1036,7
1716,0
1671,4
237,5
618,5
1488,9
514,9
588,0
1490,2
23,3
332,8
464,0
1252,6
270,4
367,4
1786,9
1204,1
570,2
643,8
316,3
1010,5
398,2
589,9
701,0
111,4
637,4
239,4
1087,3
1738,5
1558,3
210,1
1730,3
679,5
774,9
483,4
591,2
543,7
610,7
557,4
844,4
471,1
1706,9
115,2
1145,7
482,8
754,7
631,2
1773,6
1285,9
966,4
1078,0
1373,7
730,2
342,7
135,5
554,8
1657,7
1407,5
1073,7
480,7
1177,0
322,6
188,6
124,4
1142,2
1596,8
49,0
1740,9
650,4
1473,6
254,9
381,9
931,6
1616,9
526,0
1729,3
289,5
1762,6
841,6
78,0
712,6
613,4
599,3
73,9
867,3
69,9
1719,7
798,2
1454,9
416,0
1384,4
1061,5
1726,3
968,6
809,5
275,9
535,9
76,8
1502,4
307,2
1247,1
354,3
602,7
857,7
1472,2
1208,2
1504,3
585,9
674,8
30,0
1566,3
759,2
1618,2
365,5
351,6
1027,9
1392,9
1567,4
99,1
1274,5
1043,4
371,2
1350,3
481,6
1124,4
168,8
938,5
1132,9
1189,5
707,7
1790,8
478,9
1512,4
544,8
1380,1
32,5
767,4
1161,4
849,9
1431,6
861,1
1103,8
1510,6
185,0
1114,4
1228,5
331,2
44,7
247,4
582,6
1198,4
1576,5
196,6
1323,0
1347,3
778,2
59,3
1223,6
350,7
1471,1
1018,5
527,1
660,4
1785,7
1449,6
1197,8
123,8
1292,5
1656,5
303,1
792,6
518,2
383,8
1743,8
1633,9
1582,9
1269,7
1391,6
1669,2
1744,2
979,2
999,3
324,4
1544,8
1080,8
839,3
67,6
382,0
555,9
1604,7
1265,7
1359,0
1634,1
824,0
297,4
937,5
818,1
1550,5
1376,3
1421,6
1494,0
486,4
609,1
1365,0
1592,0
964,3
752,6
261,5
1324,9
240,7
669,3
651,5
940,5
1676,9
1006,9
1664,8
71,5
576,3
259,3
51,2
1317,0
1578,5
534,8
1460,3
450,4
1029,0
538,2
1607,4
1352,6
1691,4
799,3
743,4
590,5
1106,0
1682,5
1531,2
952,1
1110,3
141,1
909,4
1242,1
1678,1
374,7
1287,0
1083,1
271,5
184,2
1774,1
244,2
394,8
888,7
1307,0
344,6
427,4
1315,8
903,8
1312,5
1334,1
1305,8
250,4
495,5
1175,8
429,7
1188,9
352,8
1361,5
617,0
1629,6
1654,2
694,0
413,7
993,9
170,8
845,9
411,5
567,2
300,7
1684,7
1514,1
439,8
1368,7
1731,4
1630,3
1037,8
965,3
1461,5
